カテゴリ,講座名,ユニット番号,ユニット名,スライド番号,スライドタイトル,スライドタイトル,スライドタイトル,スライドタイトル,スライドタイトル,Googleスライド,Canvaスライド,Canva動画,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,1,報連相が3ヶ月で習慣化しない本当の理由,5,5,5,5,入社3ヶ月フォローアップ講座_Unit1,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,2,上司の指示を「1回で理解する人」の聞き方の秘密,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,3,脳科学が証明：メモを取ると記憶定着率が7倍になる,5,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,4,指示を受けるときの「3つの確認ポイント」,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,5,「5W1H」で指示の抜け漏れをゼロにする方法,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,6,上司が本当に求めている「報告のタイミング」とは,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,7,行動経済学の「損失回避」を活用した報告術,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,8,悪い報告こそ早く：心理的安全性を高める伝え方,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,9,報告は「結論→理由→詳細」の順番が最強,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,10,上司の判断を助ける「選択肢の提示」テクニック,5,5,5,5,,,,,,,,,,,,,,,
